Product ,Product ,unit of the price,Constant prices,Years,Reference,Remarks
gebluste kalk,porcelain,Brabantse gulden,,1759-1829,"RvF, 5748-5843",
paardedekens,plaster statues,Brabantse gulden,,1759-1830,"RvF, 5748-5844",
kopergravures,wax figures,Brabantse gulden,,1759-1831,"RvF, 5748-5845",
kant (vals goud en zilver),earthen statues,Brabantse gulden,,1759-1832,"RvF, 5748-5846",
laken (voor wanten en sokken),tools for artisans,Brabantse gulden,,1759-1833,"RvF, 5748-5847",
vlugzout,rasps,Brabantse gulden,,1759-1834,"RvF, 5748-5848",
china-wortel,flywheels,Brabantse gulden,,1759-1835,"RvF, 5748-5849",
witte maluwe pasta en tabletten,crystal (worked),Brabantse gulden,,1759-1836,"RvF, 5748-5850",
lavendelolie,window glass (in squares),Brabantse gulden,,1759-1837,"RvF, 5748-5851",
medicinale kruiden,glasses for dessert,Brabantse gulden,,1759-1838,"RvF, 5748-5852",
heidemos en -kruid,glasses (Bohemia),Brabantse gulden,,1759-1839,"RvF, 5748-5853",
ijzer (bewerkt voor smeden),optical glass,Brabantse gulden,,1759-1840,"RvF, 5748-5854",
garen van geitewol,saddler's ware,Brabantse gulden,,1759-1841,"RvF, 5748-5855",
wafels,mixed hosiery,Brabantse gulden,,1759-1842,"RvF, 5748-5856",
handschoenen (geitelam),embroidery  ,Brabantse gulden,,1759-1843,"RvF, 5748-5857",
binnenkappen voor hoeden en pruiken,garments and linens,Brabantse gulden,,1759-1844,"RvF, 5748-5858",
hef van olie,small linens,Brabantse gulden,,1759-1845,"RvF, 5748-5859",
kolen (om te planten),embroidery and linens,Brabantse gulden,,1759-1846,"RvF, 5748-5860",
aspergeplanten en hopscheuten,garments for women,Brabantse gulden,,1759-1847,"RvF, 5748-5861",
karnemelk,knitted garments,Brabantse gulden,,1759-1848,"RvF, 5748-5862",
komkommers en augurken,fur collars,Brabantse gulden,,1759-1849,"RvF, 5748-5863",
papieren tekeningen,leather mittens,Brabantse gulden,,1759-1850,"RvF, 5748-5864",
bewerkt metaal,goatskin gloves,Brabantse gulden,,1759-1851,"RvF, 5748-5865",
bronswerk,children's bonnets,Brabantse gulden,,1759-1852,"RvF, 5748-5866",
armbanden,silk bonnets,Brabantse gulden,,1759-1853,"RvF, 5748-5867",
versierde almanakken,priest's bonnets,Brabantse gulden,,1759-1854,"RvF, 5748-5868",
brieventassen,new hats,Brabantse gulden,,1759-1855,"RvF, 5748-5869",
vuurschermen,old hats,Brabantse gulden,,1759-1856,"RvF, 5748-5870",
degenstrikken e.d.,post caps,Brabantse gulden,,1759-1857,"RvF, 5748-5871",
broeksriemen,headdresses,Brabantse gulden,,1759-1858,"RvF, 5748-5872",
jeux de camagnolle,old shoes,Brabantse gulden,,1759-1859,"RvF, 5748-5873",
kartonnen dozen,sandals,Brabantse gulden,,1759-1860,"RvF, 5748-5874",
papieren mutsen en zakken,bracelets,Brabantse gulden,,1759-1861,"RvF, 5748-5875",
zilveren messen,decorated almanacs,Brabantse gulden,,1759-1862,"RvF, 5748-5876",
honingwafels,paper drawings,Brabantse gulden,,1759-1863,"RvF, 5748-5877",
ossepezen,belts,Brabantse gulden,,1759-1864,"RvF, 5748-5878",
dassen van zuivere zijde,silk neckties,Brabantse gulden,,1759-1865,"RvF, 5748-5879",
schoonheidsvlekken (tafzijde),beauty spots (taffeta),Brabantse gulden,,1759-1866,"RvF, 5748-5880",
borduurwerk,embellishments for coaches,Brabantse gulden,,1759-1867,"RvF, 5748-5881",
"postmutsen, kindermutsen enz.",embellishments,Brabantse gulden,,1759-1868,"RvF, 5748-5882",
kapselijzers,church decorations,Brabantse gulden,,1759-1869,"RvF, 5748-5883",
kindermutsen,wicker-work in hazel,Brabantse gulden,,1759-1870,"RvF, 5748-5884",
mutsen van zijde,wicker-work in hazel (mandriers),Brabantse gulden,,1759-1871,"RvF, 5748-5885",
mutsen voor priesters,knick-knackery,Brabantse gulden,,1759-1872,"RvF, 5748-5886",
bontkragen,trifles,Brabantse gulden,,1759-1873,"RvF, 5748-5887",
versieringen voor koetsen (karos),artificial flowers,Brabantse gulden,,1759-1874,"RvF, 5748-5888",
aarden beeldjes,furniture,Brabantse gulden,,1759-1875,"RvF, 5748-5889",
stro (gekapt),Chinese ink,Brabantse gulden,,1759-1876,"RvF, 5748-5890",
