1774,Franse termen,,I,Controletabel Invoer,5776,E,Controletabel Export,5776,T,Controletabel Transit,5776,E-I,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
koopwaar (allerlei),,gulden,"161502,00","161502,00",,"24640,00","24640,00",,"58540,00","58540,00",,"-136862,00",,,,11226,6,,,,,,748,8760,,1000,,,,,,,,,,,,,8,,,,,,,,,,,,454,,,,320,,,,,,,,,,131024,14706,22134,11152,72,6666,17306,258,18084,266,382,110
maskers,,dozijn,"308,33","0,00",,"0,00","0,00",,"0,00","0,00",,"-308,33",niet in 5776 of 5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maskers,,gulden,"696,00","696,00",,"0,00","0,00",,"0,00","0,00",,"-696,00",,,,,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
matrassen (wol),,aantal,"105,00","105,00",,"39,00","39,00",,"21,00","21,00",,"-66,00",,,9,,2,1,,7,,,,,,,,,,,,,1,,,5,,2,2,,,,,13,1,,23,7,,16,2,,,,17,13,2,2,16,4,2,7,,,,3,,,,,6,2,,,,
matrassen (paardehaar en noppen),,aantal,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kleinigheden,,gulden,"9036,00","11036,00",,"5710,00","5710,00",,"3298,00","3298,00",,"-3326,00",,590,443,990,753,507,,612,96,,784,25,,400,,,139,248,,132,157,,237,60,,249,2,,105,92,,218,157,,236,528,,124,797,,4,85,20,27,50,28,2629,1521,382,75,115,,628,375,162,820,185,1240,1988,230,474,286,37,2
galanteriewaren van nuremberg,,pond,"15641,75","15641,75",,"0,00","0,00",,"605,00","605,00",,"-15641,75",,,,230,,,,"15623,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,,,,,,,18,,
galanteriewaren van nuremberg,,gulden,"24,00","0,00",,"0,00","0,00",,"14,00","0,00",,"-24,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galanteriewaren (gewone),,pond,"119022,88","119022,88",,"23118,00","23118,00",,"117905,00","117905,00",,"-95904,88",,"1081,125",2151,84664,53579,"3193,75",17668,23016,206,1686,800,5413,,,,,96,"1972,5",,"13283,25","228,5",,"913,5",,,45,,,"147,5",183,,"7658,75",120,492,"7482,25","2709,5",,1946,"4295,5",,486,"445,5",7920,"208,5","42,5",4,"2472,5","1235,25",158,2093,450,,917,327,3183,373,,,54,40,808,"2370,5",105,1322
galanteriewaren (gewone),,gulden,"60117,00","60177,00",,"11927,00","11927,00",,"22716,00","22716,00",,"-48190,00",,266,1566,2023,105,110,26,3258,19,57,594,3149,,2544,,55,6,807,,125,165,,5765,480,11318,194,3,,,46,,65,,,266,298,,137,13,273,20,34,80,19,,36,421,3224,25,647,,,33502,1541,629,8046,392,7523,4107,64,584,90,16,87
snuifdozen (schelp),,aantal,"71,00","71,00",,"146,00","146,00",,"0,00","0,00",,"75,00",,,,,2,,,69,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snuifdozen (schelp),,gulden,"440,00","440,00",,"300,00","300,00",,"0,00","0,00",,"-140,00",,,,,15,,,425,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snuifdozen (karton),,dozijn,"1531,25","1531,25",,"0,00","0,00",,"20,00","20,00",,"-1531,25",,,,,"35,4166666667",,,"1454,5",,,,,,,,,1,,,,,,,,,,,,,,,"8,5",,,"1,5",,,"14,5",,,"0,5",,20,"0,8333333333",,,,,,,,,7,,,,,,,,,"7,5",,
snuifdozen (karton),,gulden,"2622,00","2622,00",,"0,00","0,00",,"50,00","50,00",,"-2622,00",,,,,461,,,2051,,,,,,,,,2,,,,,,,,,,,,,,,15,,,11,,,25,,,4,,50,2,,,,,,,,,20,,,,,,,,,31,,
snuifdozen (gevernist hout),,dozijn,"213,00","213,00",,"21,33","21,33",,"67,00","67,00",,"-191,67",,,,67,"7,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,6,,,,,,14,,,,,,75,,,,,,"77,3333333333",,,"27,1666666667","21,3333333333",
snuifdozen (gevernist hout),,gulden,"273,00","373,00",,"49,00","49,00",,"147,00","147,00",,"-224,00",,,,147,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,3,,,6,,,,,,33,,,,,,95,,,,,,154,,,65,49,
waaiers en papier voor waaiers,,aantal,"30,00","30,00",,"0,00","0,00",,"36,00","36,00",,"-30,00",,,,36,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waaiers en papier voor waaiers,,gulden,"20,00","20,00",,"0,00","0,00",,"24,00","24,00",,"-20,00",,,,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kunstbloemen,,gulden,"665,00","665,00",,"234,00","234,00",,"366,00","366,00",,"-431,00",,,,350,241,11,,59,14,,2,,,,,,,,,,44,,,,,,2,,,,,,,,30,,,181,,,,6,,4,,,25,152,6,96,,,,,,1,,10,20,,,6,5,
zonne- en regenschermen,,aantal,"43,00","43,00",,"6,00","6,00",,"25,00","25,00",,"-37,00",,,,,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,4,,,,,,,,,13,1,1,,,,4,,,4,,,,,,2,,24
zonne- en regenschermen,,gulden,"261,00","261,00",,"52,00","52,00",,"132,00","132,00",,"-209,00",,,,,9,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,34,40,,30,,,,,,,,,54,12,12,,,,36,,,31,,,,,,13,,120
pluimen voor hoeden,,aantal,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pluimen voor hoeden,,gulden,"0,00","0,00",,"0,00","0,00",,"42,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snuisterijen,,gulden,"76348,00","86348,00",,"7099,00","7099,00",,"9011,00","9011,00",,"-69249,00",,20719,3232,5334,1771,918,,798,,187,2267,1259,,1933,,,13,184,,4832,16,,9796,180,,243,,,86,22,,19357,,2443,9211,,,12758,758,,26,,652,78,,,148,127,25,402,,,43,,,,,60,400,180,,1467,223,310
"parels (valse, verwerkt)",,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"edelstenen (valse, verwerkt)",,gulden,"410,00","410,00",,"90,00","90,00",,"0,00","0,00",,"-320,00",,,,,,90,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klokken (metaal),,pond,"2636,25","2616,25",,"995,00","1015,00",,"522,00","522,00",,"-1641,25",,,,,"752,75",,,,,,,,,,,,,27,,"2,5",,,,20,,,,,,,,,,,168,,,,,,,,95,280,725,,796,243,,,,,204,,,363,,384,50,,43,,,
meubelen,,gulden,"70836,00","70836,00",,"38219,00","38219,00",,"7982,00","7982,00",,"-32617,00",,4394,5828,718,1556,1366,,1764,896,357,1181,5231,,4667,,,1815,518,,2502,621,,5858,495,,1485,259,,695,775,,18466,613,6,8346,1886,,6150,670,15,400,1539,1718,772,987,21,1164,1397,134,1480,881,,1641,3447,795,250,63,1172,5583,6194,1043,667,4553,2003
honing (witte),,pond,"24381,00","24381,00",,"7080,00","7080,00",,"1675,00","1675,00",,"-17301,00",,50,,125,120,,,,,,,,,1012,,,,,,100,130,,1684,,,,,,,,,2990,144,,10477,,,7496,,,125,,250,50,,50,25,,,20,,,54,3616,1250,20,3100,,30,15,,128,75,
honing (bruine),,pond,"84221,50","84221,50",,"5424,00","5424,00",,"2850,00","2850,00",,"-78797,50",,,,,,,,3860,400,,17645,24,,13623,,,,565,,9050,12,,,,,,,,"17227,5",,,80,83,,950,50,,13655,26,,375,120,,365,,,10,,700,4525,132,,150,66,,1257,1116,1950,99,2580,200,1350,250,
honing (brouche),,ton,"19,50","19,50",,"89,00","89,00",,"0,00","0,00",,"69,50",,,,,,,,,,,"3,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,625",,,"14,375",89,,"0,75",,,,,
honingraten,,pond,"508,00","508,00",,"2116,50","2116,50",,"0,00","0,00",,"1608,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,200,"2116,5",,,,,,,,,,
honingraten,,gulden,"64,00","64,00",,"0,00","0,00",,"0,00","0,00",,"-64,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
spiegels (ingekaderde),,aantal,"1954,00","1954,00",,"21,00","21,00",,"13,00","13,00",,"-1933,00",,,,,222,,,21,,,2,,,129,,,4,,,143,,,1,,,,,,4,,,3,,,,,,4,,,,,2,,4,,923,15,9,24,,,378,1,,2,,,13,1,2,81,,
spiegels (ingekaderde),,gulden,"3054,00","3054,00",,"31,00","31,00",,"47,00","47,00",,"-3023,00",,,,,482,,,194,,,277,,,808,,,25,,,121,,,9,,,,,,41,,,53,,,,,,11,,,,,10,,1,,625,15,7,166,,,52,10,,60,,,65,5,30,65,,
spiegels (kleine),,dozijn,"3998,83","3998,83",,"18,83","18,83",,"22,00","22,00",,"-3980,00",,,,,,,,"3929,5",,22,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,9,,,,,,"59,3333333333","0,8333333333",
spiegels (kleine),,gulden,"6259,00","6259,00",,"12,00","12,00",,"14,00","14,00",,"-6247,00",,,,,,,,6140,,14,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,25,,,,,,92,3,
spiegelglas,,aantal,"2505,00","2505,00",,"1,00","1,00",,"1,00","1,00",,"-2504,00",,825,,,50,,,556,,,283,,,,,,186,,,,,,,,,,,,,,,150,,,80,,,2,,,,,1,,,,21,1,,350,,,,,,,,,2,,,,,
spiegelglas,,gulden,"20791,00","20791,00",,"150,00","150,00",,"50,00","50,00",,"-20641,00",,13472,,,35,,,244,,,2783,,,,,,2449,,,,,,,,,,,,,,,551,,,215,,,20,,,,,50,,,,55,150,,930,,,,,,,,,37,,,,,
glas voor koetsen,,aantal,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glas voor koetsen,,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bijen,,korven,"623,00","623,00",,"2971,00","2971,00",,"489,00","489,00",,"2348,00",,,,,1,,,2,17,,,2170,,,,,37,42,,68,4,,,,,,,,14,109,,1,25,,1,6,,2,22,,46,,,43,,,4,30,9,,16,,34,143,5,220,15,65,43,289,24,107,83,386
koffiemolens,,aantal,"2910,00","2910,00",,"35,00","35,00",,"582,00","582,00",,"-2875,00",,,3,,1811,1,498,188,,64,3,,,38,,,2,,,2,,,,,,4,,,2,,,,,,,,,,1,,,,,,1,,399,27,17,,,,,1,,26,,,5,,3,430,1,
koffiemolens,,gulden,"2671,00","2671,00",,"34,00","34,00",,"580,00","580,00",,"-2637,00",,,4,,1848,1,531,232,,30,6,,,63,,,12,,,4,,,,,,11,,,3,,,,,,,,,,2,,,,,,1,,226,24,16,,,,,1,,50,,,5,,3,211,1,
mosterd,,gulden,"148,00","148,00",,"96,00","96,00",,"0,00","0,00",,"-52,00",,7,14,,,,,,,,,,,,,,,,,,,,137,,,2,,,,,,,,,,72,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,
"matten (rieten, breed)",,'rolles',"179,50","179,50",,"27,00","27,00",,"0,00","0,00",,"-152,50",,,9,,,15,,2,,,,,,"121,5",,,38,,,14,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,
"matten (rieten, smal)",,'rolles',"309,25","309,25",,"10,00","10,00",,"0,00","0,00",,"-299,25",,,6,,,,,4,,,,,,197,,,50,,,"46,25",,,1,,,11,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,
matten (ronde voet-),,aantal,"301,00","301,00",,"0,00","0,00",,"0,00","0,00",,"-301,00",,,,,,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matten (gewone voor verpakking),,gulden,"1433,00","1433,00",,"0,00","0,00",,"0,00","0,00",,"-1433,00",,,,,,,,,,,,,,512,,,5,,,30,,,703,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klein huislinnen,,gulden,"24034,00","24034,00",,"6855,00","6855,00",,"18774,00","18774,00",,"-17179,00",,,80,9347,199,110,,37,11,,81,20,,,,,7,172,,3,,,,,,32,18,,2,69,,10787,235,2656,205,159,,8944,388,5594,,85,102,48,5260,100,161,108,53,836,34,,954,70,102,676,6,101,735,6,231,327,24,488
allerlei versieringen,,gulden,"145,00","145,00",,"398,00","398,00",,"372,00","372,00",,"253,00",,,,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,398,,,,,5,,,6,,,,,,8,,6
borduurwerk,,gulden,"3680,00","3680,00",,"188,00","188,00",,"1118,00","1118,00",,"-3492,00",,552,20,1103,91,,,2922,,,81,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,,,,,,,,,,,,,,,24,,
moffen (dons),,aantal,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moffen (dons),,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hoeden (stro, zonne-)",,aantal,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hoeden (stro, zonne-)",,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hoeden (stro, gewone)",,dozijn,"6628,75","6628,75",,"195,83","195,83",,"17,33","17,33",,"-6432,92",,"4,6666666667",,,"5801,75","7,0833333333",,"350,5","4,5833333333",,,"177,8333333333",,"91,6666666667",,,,,,,,,3,,,,,,"0,0833333333",,,,"2,1666666667",,,,,,,,,,,,,,115,"0,6666666667","1,6666666667",,,,"31,3333333333","3,5",,"4,25",,"15,5",99,,"0,1666666667","127,5",,
"hoeden (stro, gewone)",,gulden,"20026,00","20026,00",,"960,00","960,00",,"49,00","49,00",,"-19066,00",,10,,,18059,37,,888,17,,,890,,120,,,,,,,,,6,,,,,,1,,,,5,,,,,,,,,,,,,,195,4,3,,,,90,7,,9,,45,516,,1,132,,
geraamten,,dozijn,"362,00","362,00",,"0,00","0,00",,"7,00","7,00",,"-362,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,7,,,,,,,,,,,,,36,,,60,,,86,,
geraamten,,gulden,"114,00","114,00",,"0,00","0,00",,"3,00","3,00",,"-114,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,3,,,,,,,,,,,,,12,,,20,,,22,,
kappen van hoeden,,gros,"30,00","30,00",,"708,58","708,58",,"0,00","0,00",,"678,58",,,,,30,,,,,,,,,,,,,"589,1666666667",,,,,,,,,56,,,,,,20,,,,,,"0,6666666667",,,,,,,,,"2,75",,,40,,,,,,,,,,,,,
kappen van hoeden,,gulden,"90,00","90,00",,"435,00","0,00",,"0,00","0,00",,"345,00",niet in 5776,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postmutsen,,aantal,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postmutsen,,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kokosnoten,,gulden,"1275,00","1275,00",,"0,00","0,00",,"0,00","0,00",,"-1275,00",,,,,,,,,,,,,,1213,,,60,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eieren,,aantal,"17155,00","17155,00",,"5550,00","5550,00",,"99620,00","99620,00",,"-11605,00",,,,,160,,,340,,,,,,,,,,,,,,,,,,,,,175,,,,,,200,,,,,,1100,,,,,,13200,,51200,,,,180,,,,,,800,200,9020,1000,5350,39400
papegaaien,,aantal,"51,00","51,00",,"4,00","4,00",,"1,00","1,00",,"-47,00",,,,,1,1,,1,,,2,,,15,,,8,,,7,,,11,,,2,,,,,,,,,,,,3,3,,,,,,,,,,,1,,,,,,,,1,,,,,,
papegaaien,,gulden,"778,00","778,00",,"76,00","76,00",,"28,00","28,00",,"-702,00",,,,,36,36,,10,,,35,,,255,,,138,,,52,,,165,,,27,,,,,,,,,,,,40,40,,,,,,,,,,,20,,,,,,,,28,,,,,,
kanaries,,aantal,"1395,00","1395,00",,"1580,00","1580,00",,"9,00","9,00",,"185,00",,,,,8,,,,,,,,,34,,,,602,,,5,,20,32,,,1,,,,,370,,,,,,4,,,,,,,,,1,124,,,108,,,,,,,,37,,,921,708,9
kanaries,,gulden,"478,00","478,00",,"490,00","490,00",,"3,00","3,00",,"12,00",,,,,10,,,,,,,,,23,,,,198,,,6,,21,39,,,1,,,,,220,,,,,,4,,,,,,,,,7,41,,,85,,,,,,,,26,,,167,120,3
oren en stukken huid voor sterke (engelse) lijm,,pond,"10215,00","10215,00",,"170,00","170,00",,"2729,00","2729,00",,"-10045,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,20,,,,,550,150,,,,800,,,,60,,1929,4600,,,,,,4355,,
kerksieraden,,gulden,"661,00","661,00",,"587,00","587,00",,"14,00","14,00",,"-74,00",,,,,155,,,106,10,,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,14,,,,181,,,125,,,66,,,,,
koeiebeenderen,,gulden,"51,00","51,00",,"126,00","126,00",,"30,00","30,00",,"75,00",,,97,,,25,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,51,2,,,,,,,,,,,,,,,,,,,30,,,,,,,,,
gereedschappen voor ambachtslui,,gulden,"1850,00","1850,00",,"361,00","361,00",,"255,00","255,00",,"-1489,00",,62,95,,5,,,14,16,,,,,,,,20,20,,72,25,,26,,,41,7,,,,,28,7,,35,89,,4,,,9,3,136,12,,,28,30,14,,,,446,11,,34,,59,972,58,,42,,46
zadelmakerswerk,,gulden,"1909,00","1909,00",,"2121,00","2121,00",,"444,00","444,00",,"212,00",,,4,50,107,6,,,267,,77,,,55,,,60,,,30,88,,84,,,,,,,53,,174,,,142,,,37,1493,,,,310,2,36,,202,126,,370,,,110,,51,219,3,20,180,41,,60,4,13
koetsen (karos),,aantal,"5,00","5,00",,"29,00","29,00",,"0,00","0,00",,"24,00",,,20,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,1,,,,6,,,,,,,,,2,,,,,1,,,,,,,,,,,
koetsen (karos),,gulden,"1610,00","1610,00",,"35650,00","35650,00",,"0,00","0,00",,"34040,00",,,28070,,,,,,,,,,,1440,,,,,,,600,,,,,,,,,,,,,,50,,,,5480,,,,,,,,,1500,,,,,120,,,,,,,,,,,
draagstoelen (& cabriolets),,aantal,"2,00","2,00",,"3,00","3,00",,"1,00","1,00",,"1,00",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,
draagstoelen (& cabriolets),,gulden,"462,00","462,00",,"1665,00","1665,00",,"115,00","115,00",,"1203,00",,,1315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,,,,,,,,,,,,,,,,350,,,,,70,,115,,,,,,,,,
porselein,,gulden,"68183,00","68183,00",,"4508,00","4508,00",,"758,00","758,00",,"-63675,00",,2875,1631,135,680,44,,1516,9,6,525,773,,22010,,120,6744,127,,4062,6,40,22259,450,136,3692,2,,2032,,,168,125,,,66,,51,215,,,50,,15,6,,841,565,27,42,345,,101,2,5,61,,76,59,56,2,450,36,211
fa_ence,,gulden,"4171,00","4171,00",,"1975,00","1975,00",,"623,00","623,00",,"-2196,00",,8,281,,,104,,65,,,52,44,,2352,,,12,,,69,172,,247,,,81,2,,,,,,,,,16,,11,52,,5,173,,1,3,,,1006,404,,2,,420,17,,174,45,171,249,25,19,425,33,29
fa_ence,,pond,"1487,00","1487,00",,"2222,00","2222,00",,"23314,75","23314,75",,"735,00",,6,4,5672,"74,5",,,"4,5",,,"159,5",,,,,,11,,,42,,,,,,274,,,"263,75",,,120,,,"154,5",,,"48,5",6,,4,,1255,10,10,"13,25","314,75",100,"11,5",,27,,,2075,16323,,,,,,,,,40
fa_ence (vloertegels),,aantal,"0,00","0,00",,"65,00","65,00",,"300,00","0,00",,"65,00",,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plaasteren beeldjes,,gulden,"630,00","630,00",,"318,00","318,00",,"150,00","150,00",,"-312,00",,10,77,150,213,,,,,,30,,,225,,,,,,2,1,,2,12,,,16,,,,,13,9,,4,3,,,,,,4,,1,104,,1,10,,10,,,33,,,,,,55,,,31,82,
aardewerk,,gulden,"7711,00","7711,00",,"4946,00","4946,00",,"521,00","521,00",,"-2765,00",,,15,,23,74,,78,794,,,33,,4600,,,1085,17,,300,42,,291,,,257,7,,,959,,,,,277,2,,,317,,,50,,288,,283,28,2319,50,,274,,3,15,,,,163,30,1,25,451,27,
aardewerk,,pond,"1804940,75","1804940,75",,"271869,00","271869,00",,"176694,00","176694,00",,"-1533071,75",,,,,2603,52,,4450,300,,,,,,,,"223,5",,,,,,,,,"90,25",20,,2,,,452,,1400,43,,,11,6200,,84775,450,21992,1658370,12,6170,2227,19095,1175,223,60,10922,2690,88800,132768,2347,300,2167,27902,20405,100,18532,136175,
aarden potten,,aantal,"3439,00","3439,00",,"70366,00","70366,00",,"0,00","0,00",,"66927,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,12,,,,,,,,,,,,,,,,,,,,,,,,486,,,,,3429,69868,
kroezen,,gulden,"673,00","673,00",,"6,00","6,00",,"0,00","0,00",,"-667,00",,,6,,,,,,,,,,,665,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tabakspijpen,,gros,"1100,00","1100,00",,"200,25","200,25",,"247,25","247,25",,"-899,75",,"3,5",,,,6,,,,,"14,5",,,"580,5",,,"144,1666666667",,,5,,,1,,,"1,0416666667",,,"21,5",,,,,,,4,,,,,,,,,7,,,"144,75",,,"38,5",,17,,186,"25,875",,,"4,6666666667",,1,"281,25",,"60,25"
bakstenen e.a. gelijkaardige,,aantal,"1867561,00","1867561,00",,"929808,00","929808,00",,"527100,00","527100,00",,"-937753,00",,,,,2450,22525,,22400,39533,,51000,22675,,541840,,,127401,9500,,24435,12650,,10000,,,540900,,,21800,191450,,43875,90000,,16500,64400,,2000,35000,,1100,39000,400,4400,18300,,33500,80650,700,416300,283100,526000,4100,1000,,,125,,3360,19900,,200,,
dakpannen (gebogen),,aantal,"3414772,00","3414772,00",,"273567,00","273567,00",,"160,00","160,00",,"-3141205,00",,,,,1800,770,,325,550,,6325,,,2885105,,,369252,75,,18700,,,66150,,,2000,134000,,2281,508,,6550,16150,,,102650,,1800,15254,,705,,,260,,100,24,,60,9295,3610,,44200,,,,,,,,,,,
dakpannen (rechte),,aantal,"22325,00","22325,00",,"128102,00","128102,00",,"6000,00","6000,00",,"105777,00",,,,,,,,75,,,,,,,,,,,,2550,,,12300,,,,,,,,,6000,500,,1200,121850,,,,,,,,,,,,,,200,5752,6000,,,,,,,,,,,,
aarden vloertegels,,aantal,"213376,00","213376,00",,"114267,00","114267,00",,"15455,00","15455,00",,"-99109,00",,,2000,,1028,770,,600,4650,,,,,69350,,,2030,250,,775,,,49000,,,13200,200,,,6900,,5150,22950,400,4950,11463,,5575,10345,,3150,48580,3500,40234,3351,1200,168,,5705,17919,2808,4650,,,,,,,48,,,199,,
teenwilg van 12 tot 14 palmen,,bos,"871,00","871,00",,"2517,00","2517,00",,"0,00","0,00",,"1646,00",,,,,507,,,84,,,,,,,,,,,,,,,,,,115,,,,2493,,35,,,106,,,,10,,,,,,,,,14,,24,,,,,,,,,,,,,,
teenwilg van 10 tot 11 palmen,,bos,"2779,00","2779,00",,"10303,50","10303,50",,"90,50","90,50",,"7524,50",,,,,179,,,,,,7,3117,,,,,,676,,,9,,,,,87,207,,,"3312,5",,20,1642,,24,102,,2,17,,,40,,30,,,31,1081,"22,5",2249,11,48,50,36,,,,,,20,20,100,33,
teenwilg van 7 tot 9 palmen,,bos,"18,00","18,00",,"0,00","0,00",,"0,00","0,00",,"-18,00",,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
